trial,file,topology,waveform,preinflation_psi,pmax_psi,nmse,rmse_deg,delay_decoding_index,mean_inter_pouch_corr,mean_ccc,pc1_variance_pct,participation_ratio,mean_pouch_sigma_psi,response_diversity,mean_snr,mean_dynamic_range_psi,mean_sensitivity_psi_per_deg,theta_std_deg
axial_1-5_coupled,Axial_1-5_coupled.csv,coupled,axial,1,5,0.8882715708229647,1.9116654271790654,9.163508958893171,0.9857586387991019,0.95442881224772,98.86251873992836,1.0231078144479,0.025136813969017846,0.0324471495488837,697.3356534328935,0.127968718,0.0059403149826758525,2.184705966036475
axial_1-10_coupled,Axial_1-10_coupled.csv,coupled,axial,1,10,0.5365008077341546,1.7037578997967555,17.50147910857443,0.9849399089180995,0.920274580621866,98.7964965979074,1.0244728855139886,0.02490720385729623,0.01705082179077933,669.2118799094418,0.12459374599999999,0.006299596910849335,2.4323507793523795
axial_2-5_coupled,Axial_2-5_coupled.csv,coupled,axial,2,5,1.0093402945873686,1.972720370392006,3.86994327273582,0.992740585706153,0.9084416724220127,99.4211789872624,1.011668885805422,0.03896249389967587,0.023966868774092782,1551.0880629235887,0.18787498,0.006909090777835508,2.079218754932122
axial_2-10_coupled,axial_2-10_coupled.csv,coupled,axial,2,10,0.8858414682853747,2.1542510212944554,8.202623295476368,0.9903754936197309,0.9003146756493656,99.23188984462874,1.0155252448601235,0.03278897374494685,0.017302112220108253,1095.4121631948624,0.16650004,0.006224024996306815,2.389495405802369
axial_3-5_coupled,Axial_3-5_coupled.csv,coupled,axial,3,5,1.0583173431461383,2.015549384236989,0.0,0.995087046102959,0.8982068969177718,99.60746198396338,1.007893249214291,0.0440581935119407,0.011081478502809425,2100.784617676579,0.20784371999999998,0.004938494276557891,2.119255307650343
axial_3-10_coupled,axial_3-10_coupled.csv,coupled,axial,3,10,1.0769051381499897,2.373665195506531,4.044995009036779,0.993500065991704,0.8646548754696924,99.48050685746958,1.0104643531124284,0.038797521986708536,0.020667477831151623,1657.4097240226413,0.18562498000000005,0.005487819601486976,2.39231567454845
circular_1-5_coupled,circular_1-5_coupled.csv,coupled,circular,1,5,0.34478520893026565,1.0348651355794052,11.715756393557434,0.9846406465205423,0.914404796215614,98.77385400493631,1.0249353851416636,0.02491721588846124,0.01885887595898573,584.6058738745567,0.16228126399999998,0.008433196830406952,1.9210869151917558
circular_1-10_coupled,Circular_1-10_coupled.csv,coupled,circular,1,10,0.7197786758010424,1.5931803411759848,5.790352775305405,0.9855929261117584,0.9445701731108335,98.8545375768406,1.023271162167497,0.025108363869428496,0.01611379412921569,600.2208577992466,0.18449999,0.0064272915600164186,1.9988358581350154
circular_2-5_coupled,circular_2-5_coupled.csv,coupled,circular,2,5,0.929123840140799,1.4577300894153729,0.9781590766632349,0.994453253001835,0.9497885872943291,99.56014511208602,1.008850115784254,0.0453247830496033,0.022108270319251336,1853.4379710976955,0.2716875,0.007964294414417877,1.616634472181115
circular_2-10_coupled,circular_2-10_coupled.csv,coupled,circular,2,10,1.0616786073253952,1.7035671909273808,1.6153769430086666,0.9933276387038191,0.9326868819647067,99.46053113284252,1.0108679099454456,0.042956658162735605,0.023871380622498824,1593.7211450371958,0.28603128,0.007468154582815134,1.6840097497211706
circular_3-5_coupled,Circular_3-5_coupled.csv,coupled,circular,3,5,1.0207951155567867,1.4757711935174227,0.6111099177211624,0.9961505312538147,0.7016955493666751,99.69127474229226,1.006200494686729,0.05702468218068413,0.014770894524218339,2744.8940228854544,0.3150000200000001,0.005962789258191543,1.5562588077841712
circular_3-10_coupled,Circular_3-10_coupled.csv,coupled,circular,3,10,0.9834685353753075,1.5664951592477274,0.482394333578261,0.9946461843930748,0.8926371429084972,99.57219275215704,1.0086052607675093,0.051462475208099524,0.010736423734012313,2248.628410352693,0.3096562200000001,0.006658866050344714,1.5608120675844561
triangular_1-5_coupled,triangular_1-5_coupled.csv,coupled,triangular,1,5,0.3432678703993369,1.3353086819623046,12.112576800314098,0.9855551253114816,0.9163773510980049,98.79091611444451,1.0245637998032362,0.034126049780917725,0.049143742183353656,810.2693623007865,0.18337500199999998,0.008933042365711826,2.432939960958506
triangular_1-10_coupled,triangular_1-10_coupled.csv,coupled,triangular,1,10,0.5837606890682766,2.092379425964313,7.198349167031397,0.9878070949424022,0.8377522563079923,99.02479819794641,1.0197495475933975,0.03689480951040462,0.0024023502163399513,985.4226368144366,0.20475002,0.008107155691352737,2.8559462979812738
triangular_2-5_coupled,triangular_2-5_coupled.csv,coupled,triangular,2,5,0.7988616646298315,1.79236747089666,1.1732820023228179,0.9957340698559503,0.9532218373266877,99.65865502073602,1.0068587164321319,0.053142885774445384,0.01463162211545487,2126.0986223619425,0.27646874,0.009080450990583477,2.142229085836844
triangular_2-10_coupled,triangular_2-10_coupled.csv,coupled,triangular,2,10,0.7332411086669711,2.0531380147542206,2.6676508905642677,0.9963549921970157,0.9536845616062724,99.7092016788716,1.0058392283422908,0.05239096111841328,0.017643916208597298,2303.738988898611,0.29615624000000007,0.007997145677164802,2.5079234818151117
triangular_3-5_coupled,Triangular_3-5_coupled.csv,coupled,triangular,3,5,0.7315106298853616,1.6325479521304411,0.8294083843074147,0.9972240961311745,0.9238556144982442,99.77820668217285,1.0044493667717644,0.05970498763977035,0.010724910979988267,3663.775954021118,0.30206250000000007,0.007173304321920421,2.06472187164216
triangular_3-10_coupled,Triangular_3-10_coupled.csv,coupled,triangular,3,10,0.7987992660687678,1.8857107507208692,0.7562708343471307,0.9950435073967221,0.8729367130437377,99.59770629049133,1.0080866110790077,0.06608448161843991,0.014945568257953661,3221.580326452096,0.34453128,0.008729337065904352,2.217457674044435
axial_1-5_parallel,axial_1-5_parallel.csv,parallel,axial,1,5,0.0585100997045438,0.5101493203807479,23.206872125299544,0.9372879612259875,0.0445567129910334,95.27291967378818,1.100384221563739,0.041049994847934236,0.12013305443109508,2068.8319582202694,0.20221875999999997,0.0031968206441678657,2.2154427395991023
axial_1-10_parallel,Axial_1-10_parallel.csv,parallel,axial,1,10,0.15250820273623455,0.9206412505948516,26.787441455134513,0.9302954182716782,0.052622185288997814,95.68932098877644,1.0911204368940877,0.03929726953698749,0.21979141526484852,1783.6075319874813,0.20165624000000007,0.003129061340033157,2.4901676813172537
axial_2-5_parallel,axial_2-5_parallel.csv,parallel,axial,2,5,0.7733926188896535,1.7570226116488759,9.746457460860759,0.9612713657070197,0.03680934374801807,96.01207307481074,1.0832073556251243,0.04561594981039478,0.4638249865892735,1673.3399102052724,0.2154375199999999,0.00396478017478444,2.115872324184284
axial_2-10_parallel,axial_2-10_parallel.csv,parallel,axial,2,10,0.493892314828242,1.6581930070246913,17.470285335897643,0.9501397521750578,0.035976773558898834,94.79304723086828,1.109845770180691,0.0448679259233993,0.5479256300952638,2784.851728032336,0.21065624000000005,0.004192476898190202,2.470865994348994
axial_3-5_parallel,Axial_3-5_parallel.csv,parallel,axial,3,5,0.164434058178044,0.8366666521051733,21.552906134829616,0.9852811584796063,0.16798846648669857,99.19507629293561,1.0162615031411568,0.06069492843379839,0.3619054664039763,4193.253060624374,0.2773124800000001,0.002694737532730771,2.1531397214072685
axial_3-10_parallel,axial_3-10_parallel.csv,parallel,axial,3,10,0.3124530375608963,1.3116105523429058,22.918733500545834,0.9755133731703953,0.09670248037740112,98.56869450232651,1.0291451968860317,0.04854719115265577,0.334773504669364,2843.2703894480605,0.23287500000000003,0.002724120948395925,2.444279517376126
circular_1-5_parallel,circular_1-5_parallel.csv,parallel,circular,1,5,0.1439413950573266,0.7071833629787113,22.70957397177505,0.8955653269033729,0.038629240309041336,90.11602661571457,1.2196366106041323,0.04507296122843737,0.2701414841708527,2280.5508132756595,0.25649999,0.006014397669374804,1.978649782467852
circular_1-10_parallel,circular_1-10_parallel.csv,parallel,circular,1,10,0.04433852035282267,0.38976358793193094,28.170339674125138,0.8678690155393045,0.05940086853261941,89.7463645906639,1.2301029160468575,0.04573381616423456,0.0352645279457642,2186.2486880932784,0.27056249999999993,0.00552417756019875,1.9763385177988733
circular_2-5_parallel,circular_2-5_parallel.csv,parallel,circular,2,5,0.22402609886399813,0.7651368099579439,14.702087335152317,0.952076224080143,0.07422135292442861,95.81052295239262,1.087946246153617,0.037599195762654136,0.14434647299257525,1475.4753820924739,0.21431256000000004,0.005775618349069556,1.7596717437676528
circular_2-10_parallel,circular_2-10_parallel.csv,parallel,circular,2,10,0.2285367030772757,0.7766377481749188,17.267105099399657,0.9408280183118579,0.12677966041722358,95.12284143448836,1.1031071931962408,0.03987009955925043,0.05266582176283541,1388.0410379295574,0.23625003999999983,0.006864726698307855,1.7826752357591766
circular_3-5_parallel,circular_3-5_parallel.csv,parallel,circular,3,5,0.15218148318060049,0.601305322667112,26.307265030515516,0.982452095474016,0.17292960331397567,98.79062823924222,1.024543846091988,0.06660539028925591,0.24959274376627674,4777.866662412949,0.33778125999999997,0.0029072955006784204,1.6514342222916325
circular_3-10_parallel,Circular_3-10_parallel.csv,parallel,circular,3,10,0.110143150814753,0.5015062480260091,14.82295262066582,0.9675265246099405,0.21783517999848062,97.86324277329194,1.043731141513306,0.0905269782632134,0.7761198488587757,12694.774272392977,0.43368738,0.0026444304430392053,1.6270028959571898
triangular_1-5_parallel,triangle_1-5_parallel.csv,parallel,triangular,1,5,0.10256712679605887,0.7825516354684208,33.74416896983021,0.877760535815954,0.11765713477172506,94.49626668940975,1.118028110098445,0.04841254478155085,0.4118460688411151,2408.6292087976535,0.25734376000000003,0.004880522753156017,2.55781074742465
triangular_1-10_parallel,triangle_1-10_parallel.csv,parallel,triangular,1,10,0.048858266281499106,0.6114548586255175,32.79516517988664,0.846101708932337,0.13455234720874967,90.60177347472508,1.2092675650329796,0.05470842938654201,0.13530141389782252,2656.8695964854496,0.30543753,0.004856346085054596,2.9480642533424857
triangular_2-5_parallel,triangular_2-5_parallel.csv,parallel,triangular,2,5,0.15462282644166428,0.8174420636462154,22.051067259327176,0.7876721045796378,0.14026153880397052,86.16064890180019,1.3259320805900507,0.04190027990662545,0.11241995455597448,1341.2910896988801,0.22021879999999988,0.006313979778910668,2.2919453820751587
triangular_2-10_parallel,triangular_2-10_parallel.csv,parallel,triangular,2,10,0.09773270261607579,0.7535009012783588,20.896769931291956,0.9496923085461795,0.1370630885740995,95.80870221250922,1.08777200029073,0.0482000534337646,0.09517042242597963,1841.3605016079728,0.2536874800000002,0.0068065340955974964,2.61364957071924
triangular_3-5_parallel,triangle_3-5_parallel.csv,parallel,triangular,3,5,0.11465041373878224,0.7211550216108479,26.22614093399467,0.983208717969994,0.19476931178295143,98.93207031091153,1.021636778122358,0.07344252188443133,0.20878802820551673,5658.993196858626,0.35353128,0.002987257398648197,2.25142864890192
triangular_3-10_parallel,Triangular_3-10_parallel.csv,parallel,triangular,3,10,0.08661866594683917,0.6786489364417879,31.149197352488518,0.972741979072422,0.1744946250993869,98.36903652344039,1.033250403192226,0.0669998974203896,0.22318582754816557,4560.490358535188,0.33806249999999993,0.00374161263313516,2.4647479633132354
